n,p,seed,n_edges,C_star,final_expectation,approximation_ratio,gammas,betas,gate_count,cnot_count,single_qubit_count,depth,n_iterations,wall_time_seconds
4,2,2,6,4,-3.9999228622,0.9999807156,"[0.4611350213, 1.4021238554]","[1.293902041, 1.4084528645]",48,24,24,36,259,1.8738811016
4,2,3,6,4,-3.9999228622,0.9999807156,"[0.4611350213, 1.4021238554]","[1.293902041, 1.4084528645]",48,24,24,36,259,1.8363118172000001
4,2,4,6,4,-3.9999228622,0.9999807156,"[0.4611350213, 1.4021238554]","[1.293902041, 1.4084528645]",48,24,24,36,259,1.8266289234
4,3,0,6,4,-3.9999999982,0.9999999995000001,"[0.4604766535, 1.4100986184, 0.31485429270000004]","[1.2939497529, 1.4119432732, -0.0038384450000000002]",70,36,34,52,459,2.3728890419
4,3,1,6,4,-3.9999999982,0.9999999995000001,"[0.4604766535, 1.4100986184, 0.31485429270000004]","[1.2939497529, 1.4119432732, -0.0038384450000000002]",70,36,34,52,459,2.4147999287
4,3,2,6,4,-3.9999999982,0.9999999995000001,"[0.4604766535, 1.4100986184, 0.31485429270000004]","[1.2939497529, 1.4119432732, -0.0038384450000000002]",70,36,34,52,459,2.2820699215
4,3,3,6,4,-3.9999999982,0.9999999995000001,"[0.4604766535, 1.4100986184, 0.31485429270000004]","[1.2939497529, 1.4119432732, -0.0038384450000000002]",70,36,34,52,459,2.29555583
4,3,4,6,4,-3.9999999982,0.9999999995000001,"[0.4604766535, 1.4100986184, 0.31485429270000004]","[1.2939497529, 1.4119432732, -0.0038384450000000002]",70,36,34,52,459,2.2542550564
6,1,0,9,7,-5.9392224676,0.8484603525000001,[0.5703290793],[1.2226129554],39,18,21,17,47,2.1287710667
6,1,1,9,9,-6.2320508076,0.6924500897,[2.5261125735],[1.1780973836],39,18,21,20,51,2.1905119419
6,1,2,9,7,-5.9392224676,0.8484603525000001,[0.5703290545],[1.2226129681],39,18,21,26,47,2.0958549976
6,1,3,9,7,-5.9392224676,0.8484603525000001,[0.5703308359],[1.222613007],39,18,21,20,62,2.1192989349
6,1,4,9,7,-5.9392224676,0.8484603525000001,[0.5703300105],[1.2226133597],39,18,21,17,56,2.1237549782
6,2,0,9,7,-6.6029488851,0.9432784122000001,"[0.502324859, 0.9168180937]","[1.0923574959, 1.2848638977]",72,36,36,27,176,2.4915838242
6,2,1,9,9,-8.0197573437,0.8910841493,"[2.6506961353, 2.3728720564]","[0.967858301, 0.4206127757]",72,36,36,36,157,2.6460051537
6,2,2,9,7,-6.6029488851,0.9432784122000001,"[0.5023253019, 0.9168183706]","[1.0923572381, 1.2848639306]",72,36,36,51,176,2.486823082
